Timestamp,IP Address,Minimum Memory Used,weekday
2023-01-22 20:00:00,10.16.11.252,14.69,Sunday
2023-01-22 20:00:00,10.16.11.101,14.12,Sunday
2023-01-22 20:00:00,10.16.11.22,11.99,Sunday
2023-01-22 20:00:00,10.16.11.75,15.23,Sunday
2023-01-22 20:00:00,10.16.11.77,15.1,Sunday
2023-01-22 20:00:00,10.16.11.78,15.6,Sunday
2023-01-22 20:00:00,10.16.11.79,14.9,Sunday
2023-01-22 20:00:00,10.16.11.80,15.21,Sunday
2023-01-22 20:00:00,10.16.11.83,14.5,Sunday
2023-01-22 20:00:00,10.16.11.84,14.59,Sunday
2023-01-22 21:00:00,10.16.11.252,14.63,Sunday
2023-01-22 21:00:00,10.16.11.101,14.09,Sunday
2023-01-22 21:00:00,10.16.11.22,12.87,Sunday
2023-01-22 21:00:00,10.16.11.75,15.55,Sunday
2023-01-22 21:00:00,10.16.11.77,14.86,Sunday
2023-01-22 21:00:00,10.16.11.78,15.88,Sunday
2023-01-22 21:00:00,10.16.11.79,14.7,Sunday
2023-01-22 21:00:00,10.16.11.80,15.2,Sunday
2023-01-22 21:00:00,10.16.11.83,14.72,Sunday
2023-01-22 21:00:00,10.16.11.84,14.1,Sunday
2023-01-22 22:00:00,10.16.11.252,15.13,Sunday
2023-01-22 22:00:00,10.16.11.101,14.31,Sunday
2023-01-22 22:00:00,10.16.11.22,11.69,Sunday
2023-01-22 22:00:00,10.16.11.75,15.43,Sunday
2023-01-22 22:00:00,10.16.11.77,14.71,Sunday
2023-01-22 22:00:00,10.16.11.78,15.57,Sunday
2023-01-22 22:00:00,10.16.11.79,14.47,Sunday
2023-01-22 22:00:00,10.16.11.80,14.88,Sunday
2023-01-22 22:00:00,10.16.11.83,14.55,Sunday
2023-01-22 22:00:00,10.16.11.84,14.52,Sunday
2023-01-22 23:00:00,10.16.11.252,14.8,Sunday
2023-01-22 23:00:00,10.16.11.101,14.6,Sunday
2023-01-22 23:00:00,10.16.11.22,12.78,Sunday
2023-01-22 23:00:00,10.16.11.75,15.42,Sunday
2023-01-22 23:00:00,10.16.11.77,14.81,Sunday
2023-01-22 23:00:00,10.16.11.78,15.75,Sunday
2023-01-22 23:00:00,10.16.11.79,14.54,Sunday
2023-01-22 23:00:00,10.16.11.80,14.73,Sunday
2023-01-22 23:00:00,10.16.11.83,14.31,Sunday
2023-01-22 23:00:00,10.16.11.84,14.49,Sunday
2023-01-23 00:00:00,10.16.11.252,15.26,Monday
2023-01-23 00:00:00,10.16.11.101,14.42,Monday
2023-01-23 00:00:00,10.16.11.22,14.87,Monday
2023-01-23 00:00:00,10.16.11.75,15.49,Monday
2023-01-23 00:00:00,10.16.11.77,14.86,Monday
2023-01-23 00:00:00,10.16.11.78,15.48,Monday
2023-01-23 00:00:00,10.16.11.79,14.78,Monday
2023-01-23 00:00:00,10.16.11.80,14.36,Monday
2023-01-23 00:00:00,10.16.11.83,14.29,Monday
2023-01-23 00:00:00,10.16.11.84,14.32,Monday
2023-01-23 01:00:00,10.16.11.252,14.8,Monday
2023-01-23 01:00:00,10.16.11.101,14.51,Monday
2023-01-23 01:00:00,10.16.11.22,16.35,Monday
2023-01-23 01:00:00,10.16.11.75,15.72,Monday
2023-01-23 01:00:00,10.16.11.77,15.06,Monday
2023-01-23 01:00:00,10.16.11.78,15.91,Monday
2023-01-23 01:00:00,10.16.11.79,14.86,Monday
2023-01-23 01:00:00,10.16.11.80,14.76,Monday
2023-01-23 01:00:00,10.16.11.83,14.52,Monday
2023-01-23 01:00:00,10.16.11.84,14.73,Monday
2023-01-23 02:00:00,10.16.11.252,14.85,Monday
2023-01-23 02:00:00,10.16.11.101,14.65,Monday
2023-01-23 02:00:00,10.16.11.22,11.62,Monday
2023-01-23 02:00:00,10.16.11.75,15.28,Monday
2023-01-23 02:00:00,10.16.11.77,14.83,Monday
2023-01-23 02:00:00,10.16.11.78,15.6,Monday
2023-01-23 02:00:00,10.16.11.79,14.81,Monday
2023-01-23 02:00:00,10.16.11.80,15.08,Monday
2023-01-23 02:00:00,10.16.11.83,14.27,Monday
2023-01-23 02:00:00,10.16.11.84,14.56,Monday
2023-01-23 03:00:00,10.16.11.252,14.8,Monday
2023-01-23 03:00:00,10.16.11.101,14.51,Monday
2023-01-23 03:00:00,10.16.11.22,12.96,Monday
2023-01-23 03:00:00,10.16.11.75,15.14,Monday
2023-01-23 03:00:00,10.16.11.77,14.85,Monday
2023-01-23 03:00:00,10.16.11.78,16.01,Monday
2023-01-23 03:00:00,10.16.11.79,14.89,Monday
2023-01-23 03:00:00,10.16.11.80,14.85,Monday
2023-01-23 03:00:00,10.16.11.83,14.36,Monday
2023-01-23 03:00:00,10.16.11.84,14.57,Monday
2023-01-23 04:00:00,10.16.11.252,14.78,Monday
2023-01-23 04:00:00,10.16.11.101,14.49,Monday
2023-01-23 04:00:00,10.16.11.22,13.75,Monday
2023-01-23 04:00:00,10.16.11.75,15.44,Monday
2023-01-23 04:00:00,10.16.11.77,14.86,Monday
2023-01-23 04:00:00,10.16.11.78,15.76,Monday
2023-01-23 04:00:00,10.16.11.79,14.99,Monday
2023-01-23 04:00:00,10.16.11.80,14.64,Monday
2023-01-23 04:00:00,10.16.11.83,14.43,Monday
2023-01-23 04:00:00,10.16.11.84,14.72,Monday
2023-01-23 05:00:00,10.16.11.252,15.05,Monday
2023-01-23 05:00:00,10.16.11.101,13.99,Monday
2023-01-23 05:00:00,10.16.11.22,13.1,Monday
2023-01-23 05:00:00,10.16.11.75,15.23,Monday
2023-01-23 05:00:00,10.16.11.77,14.98,Monday
